Tabelle: 22421-0001
Pflegebedürftige: Deutschland, Stichtag, Geschlecht,;;;;;;;;;;;;;;;
Altersgruppen, Art der Versorgung von Pflegebedürftigen;;;;;;;;;;;;;;;
Statistik über d. Empfänger v.Pflegegeldleistungen;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Deutschland;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pflegebedürftige (Anzahl);;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Stichtag;;;;;;;;;;;;;;;;;;;;;;;;;
;;;31.12.1999;;31.12.2001;;31.12.2003;;31.12.2005;;31.12.2007;;31.12.2009;;31.12.2011;;31.12.2013;;31.12.2015;;31.12.2017;;31.12.2019;;31.12.2021;;31.12.2023;
;;75 bis unter 80 Jahre;20795;e;20862;e;22619;e;25644;e;28262;e;30059;e;31519;e;36071;e;40631;e;45092;e;46226;e;39827;e;39447;e
;;80 bis unter 85 Jahre;17793;e;22170;e;27964;e;29805;e;31846;e;38240;e;40947;e;42480;e;48583;e;59775;e;74041;e;78817;e;76787;e
;;85 bis unter 90 Jahre;23273;e;21213;e;16962;e;19428;e;26486;e;31772;e;33117;e;38331;e;46523;e;53658;e;63188;e;72272;e;85404;e
;;90 bis unter 95 Jahre;10843;e;12252;e;13018;e;12843;e;10689;e;10769;e;15066;e;18604;e;21665;e;26459;e;34272;e;37344;e;39093;e
;;95 Jahre und mehr;2375;e;2768;e;3215;e;3549;e;4176;e;4495;e;3798;e;3229;e;4708;e;6132;e;7730;e;9121;e;10042;e
;;Insgesamt;117362;e;124865;e;131710;e;142437;e;157486;e;176526;e;185002;e;201839;e;230336;e;278281;e;327819;e;347848;e;366909;e
;weiblich;unter 5 Jahre;225;e;259;e;251;e;237;e;245;e;363;e;270;e;303;e;391;e;588;e;851;e;825;e;596;e
;;5 bis unter 10 Jahre;334;e;373;e;418;e;468;e;471;e;486;e;413;e;555;e;608;e;876;e;1232;e;1091;e;1170;e
;;10 bis unter 15 Jahre;393;e;443;e;492;e;510;e;561;e;604;e;497;e;562;e;596;e;825;e;1109;e;1058;e;1204;e
;;15 bis unter 20 Jahre;330;e;339;e;439;e;505;e;564;e;564;e;493;e;526;e;630;e;702;e;859;e;912;e;1090;e
;;20 bis unter 25 Jahre;291;e;310;e;354;e;434;e;515;e;539;e;532;e;629;e;671;e;839;e;981;e;955;e;1026;e
;;25 bis unter 30 Jahre;391;e;398;e;391;e;418;e;542;e;623;e;654;e;804;e;877;e;1123;e;1230;e;1254;e;1298;e
;;30 bis unter 35 Jahre;737;e;719;e;603;e;577;e;536;e;626;e;688;e;825;e;983;e;1418;e;1694;e;1736;e;1774;e
;;35 bis unter 40 Jahre;1141;e;1140;e;1151;e;1056;e;1055;e;1001;e;870;e;938;e;1180;e;1715;e;2102;e;2284;e;2355;e
;;40 bis unter 45 Jahre;1497;e;1562;e;1641;e;1785;e;1971;e;2006;e;1816;e;1694;e;1716;e;2301;e;2784;e;2884;e;3014;e
;;45 bis unter 50 Jahre;2038;e;2213;e;2284;e;2449;e;2782;e;3144;e;3272;e;3376;e;3550;e;4394;e;4543;e;4295;e;4131;e
;;50 bis unter 55 Jahre;2385;e;2816;e;3052;e;3247;e;3633;e;4244;e;4530;e;5162;e;5899;e;8035;e;8912;e;8400;e;7460;e
;;55 bis unter 60 Jahre;4234;e;3608;e;3627;e;4129;e;4867;e;5690;e;6089;e;6742;e;8253;e;11365;e;14150;e;14441;e;14349;e
;;60 bis unter 65 Jahre;7481;e;7602;e;7278;e;6490;e;6294;e;7027;e;8321;e;9328;e;11094;e;15112;e;18368;e;20176;e;21920;e
;;65 bis unter 70 Jahre;11423;e;12203;e;13464;e;13958;e;14326;e;14228;e;12354;e;12726;e;15819;e;21697;e;26710;e;28347;e;29743;e
;;70 bis unter 75 Jahre;24521;e;23801;e;22964;e;23973;e;26274;e;30397;e;30971;e;30215;e;28790;e;32157;e;37811;e;44581;e;48562;e
;;75 bis unter 80 Jahre;53043;e;50341;e;49438;e;47797;e;48202;e;50740;e;53752;e;60469;e;67500;e;78698;e;85044;e;74499;e;73993;e
;;80 bis unter 85 Jahre;53023;e;66177;e;84075;e;85859;e;83947;e;89034;e;88043;e;88261;e;99201;e;125540;e;159780;e;173399;e;170516;e
;;85 bis unter 90 Jahre;81165;e;74818;e;60069;e;66700;e;88901;e;106459;e;103964;e;107404;e;117378;e;132260;e;156086;e;179335;e;209957;e
;;90 bis unter 95 Jahre;43031;e;48398;e;52188;e;52073;e;42476;e;40441;e;56577;e;69008;e;76636;e;85937;e;99874;e;104736;e;105324;e
;;95 Jahre und mehr;10244;e;12294;e;14237;e;16441;e;18584;e;20455;e;17156;e;14480;e;20165;e;26095;e;30665;e;33742;e;34281;e
;;Insgesamt;297927;e;309814;e;318416;e;329106;e;346746;e;378671;e;391262;e;414007;e;461937;e;551677;e;654785;e;698950;e;733763;e
;Insgesamt;unter 5 Jahre;502;e;538;e;494;e;489;e;538;e;734;e;538;e;612;e;789;e;1231;e;1827;e;1736;e;1345;e
;;5 bis unter 10 Jahre;834;e;854;e;971;e;1129;e;1122;e;1169;e;1031;e;1302;e;1461;e;2033;e;2981;e;2805;e;3075;e
;;10 bis unter 15 Jahre;888;e;1021;e;1147;e;1230;e;1286;e;1400;e;1098;e;1342;e;1520;e;2122;e;2957;e;2859;e;3325;e
;;15 bis unter 20 Jahre;789;e;823;e;978;e;1120;e;1283;e;1276;e;1064;e;1197;e;1416;e;1666;e;2119;e;2272;e;2783;e
